doc_id,original_doc_id,image_path,qwen_parse_success,chatgpt_parse_success,qwen_quality_issues,chatgpt_quality_issues,gt_vendor_name,qwen_vendor_name,chatgpt_vendor_name,qwen_vendor_name_confidence,chatgpt_vendor_name_confidence,qwen_vendor_name_match,chatgpt_vendor_name_match,qwen_vendor_name_match_type,chatgpt_vendor_name_match_type,qwen_vendor_name_normalized_gt,qwen_vendor_name_normalized_pred,chatgpt_vendor_name_normalized_gt,chatgpt_vendor_name_normalized_pred,qwen_vendor_fuzzy_score,chatgpt_vendor_fuzzy_score,gt_invoice_date,qwen_invoice_date,chatgpt_invoice_date,qwen_invoice_date_confidence,chatgpt_invoice_date_confidence,qwen_invoice_date_match,chatgpt_invoice_date_match,qwen_invoice_date_match_type,chatgpt_invoice_date_match_type,qwen_invoice_date_normalized_gt,qwen_invoice_date_normalized_pred,chatgpt_invoice_date_normalized_gt,chatgpt_invoice_date_normalized_pred,gt_total,qwen_total,chatgpt_total,qwen_total_confidence,chatgpt_total_confidence,qwen_total_match,chatgpt_total_match,qwen_total_match_type,chatgpt_total_match_type,qwen_total_normalized_gt,qwen_total_normalized_pred,chatgpt_total_normalized_gt,chatgpt_total_normalized_pred,qwen_correct_fields,chatgpt_correct_fields,case_outcome
sroie_train_X51006388065,X51006388065,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51006388065.jpg,True,True,blurry text,poor_contrast;stained_text,99 SPEED MART S/B,99 SPEED MART S/B,99 SPEED MART S/B,0.9,0.9,True,True,vendor_fuzzy,vendor_fuzzy,99 SPEED MART SDN BHD,99 SPEED MART SDN BHD,99 SPEED MART SDN BHD,99 SPEED MART SDN BHD,1.0,1.0,21-05-17,21-05-17,21-05-17,0.9,0.9,True,True,date_normalized,date_normalized,20170521,20170521,20170521,20170521,20.80,20.80,20.80,0.9,0.9,True,True,amount_normalized,amount_normalized,20.80,20.80,20.80,20.80,3,3,tie
sroie_train_X51006441474,X51006441474,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51006441474.jpg,True,True,,,TF VALUE-MART SDN BHD,TF Value-Mart Sdn Bhd,TF Value-Mart Sdn Bhd,0.9,0.9,True,True,vendor_fuzzy,vendor_fuzzy,TF VALUE MART SDN BHD,TF VALUE MART SDN BHD,TF VALUE MART SDN BHD,TF VALUE MART SDN BHD,1.0,1.0,19/05/18,19/05/18,19/05/18,0.9,0.9,True,True,date_normalized,date_normalized,20180519,20180519,20180519,20180519,52.80,52.80,52.80,0.9,0.9,True,True,amount_normalized,amount_normalized,52.80,52.80,52.80,52.80,3,3,tie
sroie_train_X51008164997,X51008164997,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51008164997.jpg,True,True,,poor_contrast;blurry_text,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,0.95,0.9,True,True,vendor_fuzzy,vendor_fuzzy,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,1.0,1.0,15-06-2018,15-06-2018,15-06-2018,0.95,0.9,True,True,date_normalized,date_normalized,20180615,20180615,20180615,20180615,148.50,148.50,148.50,0.95,0.9,True,True,amount_normalized,amount_normalized,148.50,148.50,148.50,148.50,3,3,tie
sroie_train_X51005453802,X51005453802,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51005453802.jpg,True,True,,,LIAN HING STATIONERY SDN BHD,LIAN HING STATIONERY SDN BHD,LIAN HING STATIONERY SDN BHD,0.9,0.9,True,True,vendor_fuzzy,vendor_fuzzy,LIAN HING STATIONERY SDN BHD,LIAN HING STATIONERY SDN BHD,LIAN HING STATIONERY SDN BHD,LIAN HING STATIONERY SDN BHD,1.0,1.0,30/03/2018,30/03/2018,30/03/2018,0.9,0.9,True,True,date_normalized,date_normalized,20180330,20180330,20180330,20180330,159.00,159.00,159.00,0.9,0.9,True,True,amount_normalized,amount_normalized,159.00,159.00,159.00,159.00,3,3,tie
sroie_train_X51008114266,X51008114266,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51008114266.jpg,True,True,,poor_contrast;stained_text,99 SPEED MART S/B,99 SPEED MART S/B,99 SPEED MART S/B,0.9,0.9,True,True,vendor_fuzzy,vendor_fuzzy,99 SPEED MART SDN BHD,99 SPEED MART SDN BHD,99 SPEED MART SDN BHD,99 SPEED MART SDN BHD,1.0,1.0,13-05-18,13-05-18,13-05-18,0.9,0.9,True,True,date_normalized,date_normalized,20180513,20180513,20180513,20180513,22.90,22.90,22.90,0.9,0.9,True,True,amount_normalized,amount_normalized,22.90,22.90,22.90,22.90,3,3,tie
sroie_train_X51005268262,X51005268262,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51005268262.jpg,True,True,,,HOME MASTER HARDWARE & ELECTRICAL,HOME MASTER HARDWARE & ELECTRICAL,HOME MASTER HARDWARE & ELECTRICAL,0.9,0.9,True,True,vendor_fuzzy,vendor_fuzzy,HOME MASTER HARDWARE AND ELECTRICAL,HOME MASTER HARDWARE AND ELECTRICAL,HOME MASTER HARDWARE AND ELECTRICAL,HOME MASTER HARDWARE AND ELECTRICAL,1.0,1.0,22/12/2017,22/12/2017,22/12/2017,0.9,0.9,True,True,date_normalized,date_normalized,20171222,20171222,20171222,20171222,15.90,15.90,15.90,0.9,0.9,True,True,amount_normalized,amount_normalized,15.90,15.90,15.90,15.90,3,3,tie
sroie_train_X51008099083,X51008099083,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51008099083.jpg,True,True,,poor_contrast;blurry_text,RESTORAN WAN SHENG,RESTORAN WAN SHENG,RESTORAN WAN SHENG,0.95,0.9,True,True,vendor_fuzzy,vendor_fuzzy,RESTORAN WAN SHENG,RESTORAN WAN SHENG,RESTORAN WAN SHENG,RESTORAN WAN SHENG,1.0,1.0,04-06-2018,04-06-2018,04-06-2018,0.95,0.9,True,True,date_normalized,date_normalized,20180604,20180604,20180604,20180604,6.70,6.70,6.70,0.95,0.9,True,True,amount_normalized,amount_normalized,6.70,6.70,6.70,6.70,3,3,tie
sroie_train_X51008142063,X51008142063,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51008142063.jpg,True,True,,,KEDAI PAPAN YEW CHUAN,KEDAI PAPAN YEW CHUAN,KEDAI PAPAN YEW CHUAN,0.95,0.9,True,True,vendor_fuzzy,vendor_fuzzy,KEDAI PAPAN YEW CHUAN,KEDAI PAPAN YEW CHUAN,KEDAI PAPAN YEW CHUAN,KEDAI PAPAN YEW CHUAN,1.0,1.0,30/04/2018,30/04/2018,30/04/2018,0.95,0.9,True,True,date_normalized,date_normalized,20180430,20180430,20180430,20180430,404.39,404.39,404.39,0.95,0.9,True,True,amount_normalized,amount_normalized,404.39,404.39,404.39,404.39,3,3,tie
sroie_train_X51007103702,X51007103702,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51007103702.jpg,True,True,,,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,0.95,0.9,True,True,vendor_fuzzy,vendor_fuzzy,MR D I Y M SDN BHD,MR D I Y M SDN BHD,MR D I Y M SDN BHD,MR D I Y M SDN BHD,1.0,1.0,30-04-18,30-04-18,30-04-18,0.95,0.9,True,True,date_normalized,date_normalized,20180430,20180430,20180430,20180430,5.00,5.00,5.00,0.95,0.9,True,True,amount_normalized,amount_normalized,5.00,5.00,5.00,5.00,3,3,tie
sroie_train_X51005685357,X51005685357,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51005685357.jpg,True,True,,poor_contrast,FARMASI MALURI S/B,Farmasi Maluri S/B,Farmasi Maluri S/B,0.9,0.9,True,True,vendor_fuzzy,vendor_fuzzy,FARMASI MALURI SDN BHD,FARMASI MALURI SDN BHD,FARMASI MALURI SDN BHD,FARMASI MALURI SDN BHD,1.0,1.0,02/03/18,02/03/18,02/03/18,0.9,0.9,True,True,date_normalized,date_normalized,20180302,20180302,20180302,20180302,79.35,79.35,79.35,0.9,0.9,True,True,amount_normalized,amount_normalized,79.35,79.35,79.35,79.35,3,3,tie
