doc_id,image_path,parse_success,gt_vendor_name,pred_vendor_name,pred_vendor_confidence,vendor_exact_match,vendor_normalized_match,vendor_fuzzy_score,vendor_fuzzy_match,gt_invoice_date,pred_invoice_date,pred_invoice_date_confidence,date_exact_match,date_normalized_match,gt_total,pred_total,pred_total_confidence,total_exact_match,total_normalized_match,gt_total_normalized,pred_total_normalized,document_quality_issues,all_key_fields_exact_match,all_key_fields_normalized_match,all_key_fields_fuzzy_match,error_types
sroie_train_X51006388065,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51006388065.jpg,True,99 SPEED MART S/B,99 SPEED MART S/B,0.9,True,True,1.0,True,21-05-17,21-05-17,0.9,True,True,20.80,20.80,0.9,True,True,20.80,20.80,blurry text,True,True,True,document_quality_issue
sroie_train_X51006441474,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51006441474.jpg,True,TF VALUE-MART SDN BHD,TF Value-Mart Sdn Bhd,0.9,False,True,1.0,True,19/05/18,19/05/18,0.9,True,True,52.80,52.80,0.9,True,True,52.80,52.80,,False,True,True,
sroie_train_X51008164997,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51008164997.jpg,True,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,0.95,True,True,1.0,True,15-06-2018,15-06-2018,0.95,True,True,148.50,148.50,0.95,True,True,148.50,148.50,,True,True,True,
sroie_train_X51005453802,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51005453802.jpg,True,LIAN HING STATIONERY SDN BHD,LIAN HING STATIONERY SDN BHD,0.9,True,True,1.0,True,30/03/2018,30/03/2018,0.9,True,True,159.00,159.00,0.9,True,True,159.00,159.00,,True,True,True,
sroie_train_X51008114266,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51008114266.jpg,True,99 SPEED MART S/B,99 SPEED MART S/B,0.9,True,True,1.0,True,13-05-18,13-05-18,0.9,True,True,22.90,22.90,0.9,True,True,22.90,22.90,,True,True,True,
sroie_train_X51005268262,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51005268262.jpg,True,HOME MASTER HARDWARE & ELECTRICAL,HOME MASTER HARDWARE & ELECTRICAL,0.9,True,True,1.0,True,22/12/2017,22/12/2017,0.9,True,True,15.90,15.90,0.9,True,True,15.90,15.90,,True,True,True,
sroie_train_X51008099083,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51008099083.jpg,True,RESTORAN WAN SHENG,RESTORAN WAN SHENG,0.95,True,True,1.0,True,04-06-2018,04-06-2018,0.95,True,True,6.70,6.70,0.95,True,True,6.70,6.70,,True,True,True,
sroie_train_X51008142063,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51008142063.jpg,True,KEDAI PAPAN YEW CHUAN,KEDAI PAPAN YEW CHUAN,0.95,True,True,1.0,True,30/04/2018,30/04/2018,0.95,True,True,404.39,404.39,0.95,True,True,404.39,404.39,,True,True,True,
sroie_train_X51007103702,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51007103702.jpg,True,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD,0.95,True,True,1.0,True,30-04-18,30-04-18,0.95,True,True,5.00,5.00,0.95,True,True,5.00,5.00,,True,True,True,
sroie_train_X51005685357,/work/bigweather/xinyanxie/invoiceguard-ai/data/raw/sroie/SROIE2019/train/img/X51005685357.jpg,True,FARMASI MALURI S/B,Farmasi Maluri S/B,0.9,False,True,1.0,True,02/03/18,02/03/18,0.9,True,True,79.35,79.35,0.9,True,True,79.35,79.35,,False,True,True,
